	Date	City	Country	Latitude	Longitude	Temperature (F)	Humidity (%)	Cloudiness (%)	Wind Speed (mph)
400	1547262613	Malindi	KE	-3.22	40.12	78.23	96	24	10.76
401	1547260200	Cayenne	GF	4.94	-52.33	75.2	88	75	8.19
403	1547262704	Zhireken	RU	52.82	117.29	-2.23	77	56	3.38
404	1547262705	Tosya	TR	41.02	34.04	29.59	88	80	3.27
406	1547262705	Naze	NG	5.43	7.07	73.6	91	8	7.4
407	1547262705	Fengrun	CN	39.83	118.12	33.59	79	32	4.61
408	1547258400	Cumana	VE	10.46	-64.17	80.6	88	20	2.59
409	1547262706	Bilma	NE	18.69	12.92	47.14	52	0	3.49
410	1547262706	Tambacounda	SN	13.77	-13.67	72.56	28	48	8.63
411	1547262706	Faanui	PF	-16.48	-151.75	83.41	100	92	17.58
413	1547258400	Flinders	AU	-34.58	150.85	89.6	52	0	10.29
